model,epoch,loss,roc_auc,pr_auc,precision,recall,f1
sage,1,0.06977839720831103,0.9819095015842896,0.9608899681368066,0.96209183220344,0.49955614309485474,0.9824905184005726
sage,2,0.001262213942615357,0.9807268246533911,0.9562950421072844,0.9618199729995986,0.5065079798170002,0.9824200425738141
sage,3,0.0004599339325726151,0.9827091367203754,0.9620836352099915,0.9673910670625219,0.681183925847075,0.982611092600228
sage,4,0.0004785549469371834,0.9820065288384726,0.964305933929501,0.9644067031031212,0.4923007159354236,0.9757870990196486
sage,5,0.00021148659631024068,0.9839017127520968,0.9698764249456366,0.9689221085759244,0.5395109503917854,0.9827703416728295
sage,6,0.0001829015545849761,0.9814329480971166,0.9627660871486496,0.962109567587947,0.5099473904672602,0.9823718280965753
sage,7,0.00019962944385479452,0.9820747028115238,0.9632118373717234,0.9670085567761382,0.5202809940857509,0.9825999614343048
sage,8,0.00017801417349731175,0.9819092884006737,0.9628136101307707,0.9644398365390442,0.5505170644726173,0.9823885171877498
sage,9,0.0001725729422856043,0.9806497599318909,0.960639256437364,0.9616363367362036,0.49955614309485474,0.9822080713366613
sage,10,0.00018276238098351565,0.9831056312202286,0.968745868523806,0.9689380689408232,0.5407560554763488,0.9789076050263436
sage,11,0.00017808726694164246,0.9816906520883848,0.9636008433956488,0.9672923898912842,0.5204039674274361,0.9823866628162836
sage,12,0.00016344143065158312,0.9812380252075804,0.9622093732087567,0.9666848364006714,0.517952186427586,0.9821159996858226
sage,13,0.00017188600741396137,0.9814341024608102,0.9609857163110866,0.9670968525250505,0.5203693811750871,0.982653764405998
sage,14,0.00016643665389549328,0.9813132926622012,0.9607862837966972,0.9669677603627406,0.5204039674274361,0.9824979374968571
sage,15,0.00015341567374465407,0.9814471646553489,0.9607654443493964,0.9675045370754083,0.5203693811750871,0.9826073821835656
