model,roc_auc,pr_auc,precision,recall,f1,date
gcn,0.9831981043502084,0.9679682497502692,0.968995028444471,0.3737568211513334,0.9823737489543156,2025-11-19
sage,0.9812045099595021,0.9606276895304742,0.9668941930683151,0.5193182691568673,0.9823663317619684,2025-11-19
