source_cell_type,target_cell_type,total_weight,mean_weight,n_edges
CAFs.MSC.iCAF.like,T.cells.CD8,1123.0,1.0,1123
CAFs.myCAF.like,B.cells.Memory,1261.0,1.0,1261
CAFs.myCAF.like,B.cells.Naive,916.0,1.0,916
CAFs.myCAF.like,CAFs.MSC.iCAF.like,1858.0,1.0,1858
CAFs.myCAF.like,CAFs.myCAF.like,2083.0,1.0,2083
CAFs.myCAF.like,Cancer.Basal.SC,2364.0,1.0,2364
CAFs.myCAF.like,Cancer.Cycling,2192.0,1.0,2192
CAFs.myCAF.like,Cancer.Her2.SC,2091.0,1.0,2091
CAFs.myCAF.like,Cancer.LumA.SC,944.0,1.0,944
CAFs.myCAF.like,Cancer.LumB.SC,881.0,1.0,881
CAFs.myCAF.like,Cycling.Myeloid,1234.0,1.0,1234
CAFs.myCAF.like,Cycling.PVL,883.0,1.0,883
CAFs.myCAF.like,Cycling.T.cells,1169.0,1.0,1169
CAFs.myCAF.like,DCs,1266.0,1.0,1266
CAFs.myCAF.like,Endothelial.ACKR1,1537.0,1.0,1537
CAFs.myCAF.like,Endothelial.CXCL12,1170.0,1.0,1170
CAFs.myCAF.like,Endothelial.Lymphatic.LYVE1,1032.0,1.0,1032
CAFs.myCAF.like,Endothelial.RGS5,1258.0,1.0,1258
CAFs.myCAF.like,Luminal.Progenitors,1608.0,1.0,1608
CAFs.myCAF.like,Macrophage,1706.0,1.0,1706
CAFs.myCAF.like,Mature.Luminal,1609.0,1.0,1609
CAFs.myCAF.like,Monocyte,1282.0,1.0,1282
CAFs.myCAF.like,Myoepithelial,1171.0,1.0,1171
CAFs.myCAF.like,NK.cells,1191.0,1.0,1191
CAFs.myCAF.like,NKT.cells,881.0,1.0,881
CAFs.myCAF.like,PVL.Differentiated,1608.0,1.0,1608
CAFs.myCAF.like,PVL.Immature,1307.0,1.0,1307
CAFs.myCAF.like,Plasmablasts,1503.0,1.0,1503
CAFs.myCAF.like,T.cells.CD4,1663.0,1.0,1663
CAFs.myCAF.like,T.cells.CD8,1159.0,1.0,1159
Cancer.Basal.SC,B.cells.Memory,1343.0,1.0,1343
Cancer.Basal.SC,B.cells.Naive,977.0,1.0,977
Cancer.Basal.SC,CAFs.MSC.iCAF.like,1989.0,1.0,1989
Cancer.Basal.SC,CAFs.myCAF.like,2224.0,1.0,2224
Cancer.Basal.SC,Cancer.Basal.SC,2553.0,1.0,2553
Cancer.Basal.SC,Cancer.Cycling,2368.0,1.0,2368
Cancer.Basal.SC,Cancer.Her2.SC,2233.0,1.0,2233
Cancer.Basal.SC,Cancer.LumA.SC,1013.0,1.0,1013
Cancer.Basal.SC,Cancer.LumB.SC,952.0,1.0,952
Cancer.Basal.SC,Cycling.Myeloid,1321.0,1.0,1321
Cancer.Basal.SC,Cycling.PVL,944.0,1.0,944
Cancer.Basal.SC,Cycling.T.cells,1267.0,1.0,1267
Cancer.Basal.SC,DCs,1375.0,1.0,1375
Cancer.Basal.SC,Endothelial.ACKR1,1635.0,1.0,1635
Cancer.Basal.SC,Endothelial.CXCL12,1256.0,1.0,1256
Cancer.Basal.SC,Endothelial.Lymphatic.LYVE1,1093.0,1.0,1093
Cancer.Basal.SC,Endothelial.RGS5,1347.0,1.0,1347
Cancer.Basal.SC,Luminal.Progenitors,1720.0,1.0,1720
Cancer.Basal.SC,Macrophage,1823.0,1.0,1823
Cancer.Basal.SC,Mature.Luminal,1719.0,1.0,1719
Cancer.Basal.SC,Monocyte,1381.0,1.0,1381
Cancer.Basal.SC,Myoepithelial,1258.0,1.0,1258
Cancer.Basal.SC,NK.cells,1262.0,1.0,1262
Cancer.Basal.SC,NKT.cells,943.0,1.0,943
Cancer.Basal.SC,PVL.Differentiated,1706.0,1.0,1706
Cancer.Basal.SC,PVL.Immature,1407.0,1.0,1407
Cancer.Basal.SC,Plasmablasts,1617.0,1.0,1617
Cancer.Basal.SC,T.cells.CD4,1782.0,1.0,1782
Cancer.Basal.SC,T.cells.CD8,1248.0,1.0,1248
Cancer.Cycling,B.cells.Memory,1370.0,1.0,1370
Cancer.Cycling,B.cells.Naive,986.0,1.0,986
Cancer.Cycling,CAFs.MSC.iCAF.like,1996.0,1.0,1996
Cancer.Cycling,CAFs.myCAF.like,2221.0,1.0,2221
