model,epoch,loss,roc_auc,pr_auc,precision,recall,f1
gcn,1,0.06534917450309785,0.9809638965894518,0.9608526212785558,0.9632751903976415,0.52737501873422,0.9821482156208591
gcn,2,0.001195033025555456,0.9648749899006024,0.9454951103137934,0.9621338530785086,0.52737501873422,0.9492602291188248
gcn,3,0.0004284195943600965,0.9828470284995288,0.9691516731740607,0.9657307131886741,0.4711954161686887,0.9826148030449124
gcn,4,0.00024116694932811993,0.9827549237112259,0.9685317692606019,0.9640533895328416,0.52737501873422,0.9826259345470999
gcn,5,0.000285702162456387,0.9806646088267974,0.9631753951526651,0.9624302350823873,0.528155130870536,0.981341700448012
gcn,6,0.0001526535781192926,0.9820867534268782,0.9662787742671635,0.968128838110048,0.5167800967646482,0.9823717615469199
gcn,7,0.00027957867368999967,0.7516808286149868,0.7680609029790592,0.7051920765056914,0.5004438569051453,0.7586667746778717
gcn,8,0.0001313596680181963,0.984303237553843,0.9707832226342291,0.9710870057634712,0.741379376602016,0.9824330242032396
gcn,9,0.00013406441440122678,0.9816911045728429,0.9652383405819089,0.964751453457718,0.52737501873422,0.9828854179937926
gcn,10,0.00015052627500125013,0.9826050362020291,0.9677095771677364,0.9685402460519522,0.41810936172992746,0.9825888305205699
gcn,11,0.00014236414490721169,0.9812583100963967,0.962017682122569,0.963996679809089,0.4998635764490679,0.9809392207409903
gcn,12,0.00013221334413548286,0.9818114619017619,0.9659862764136987,0.9668085809945025,0.3595433077523163,0.9821215597561725
gcn,13,0.00015404582526961535,0.982984679944079,0.9672160744010686,0.9680198852107369,0.513333000280533,0.9826500536670649
gcn,14,0.00013050274602158937,0.9832351341122342,0.9677147453138731,0.9674241615989189,0.4181554767330595,0.9824793899662314
gcn,15,0.00012999122683602054,0.9834344850051226,0.9682241517853176,0.9691197172552191,0.3730242603345644,0.9825943959459145
